label,text
ham,"K so am I, how much for an 8th? Fifty?"
ham,There is no sense in my foot and penis.
ham,Good. No swimsuit allowed :)
ham,I keep ten rs in my shelf:) buy two egg.
ham,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand."
ham,Yes..gauti and sehwag out of odi series.
ham,Ok... Sweet dreams...
ham,Might ax well im there.
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
ham,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?"
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
spam,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
ham,Lol alright i was thinkin that too haha
ham,Thanx but my birthday is over already.
ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
ham,Ffffffffff. Alright no way I can meet up with you sooner?
ham,I'm at home. Please call
ham,Hi mom we might be back later than  &lt;#&gt;
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
ham,Oh that was a forwarded message. I thought you send that to me
ham,At 7 we will go ok na.
ham,Pls send me your address sir.
spam,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app
ham,I sent lanre fakeye's Eckankar details to the mail box
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.
ham,"No worries, hope photo shoot went well. have a spiffing fun at workage."
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
ham,Are you wet right now?
ham,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
ham,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
spam,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk."
ham,Mathews or tait or edwards or anderson
ham,Why you Dint come with us.
ham,Hi di is yijue we're meeting at 7 pm at esaplanade tonight.
spam,"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
ham,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*"
ham,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
ham,He says hi and to get your ass back to south tampa (preferably at a kegger)
ham,What time. I‘m out until prob 3 or so
ham,What u talking bout early morning? It's almost noon where your at!
ham,Prakesh is there know.
ham,:( but your not here....
ham,We stopped to get ice cream and will go back after
ham,X2  &lt;#&gt; . Are you going to get that
ham,I wont. So wat's wit the guys
ham,None of that's happening til you get here though
ham,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details"
ham,i dnt wnt to tlk wid u
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
ham,"K give me a sec, breaking a  &lt;#&gt;  at cstore"
ham,Howz that persons story
ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
ham,Nite...
ham,Same to u...
spam,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
ham,WHAT TIME U WRKIN?
ham,I think its far more than that but find out. Check google maps for a place from your dorm.
ham,All sounds good. Fingers . Makes it difficult to type
ham,Are you free now?can i call now?
spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
ham,Yeah that'd pretty much be the best case scenario
ham,"No my blankets are sufficient, thx"
ham,We live in the next  &lt;#&gt; mins
ham,"not that I know of, most people up here are still out of town"
ham,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie
ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..
ham,"Yeah that's what I thought, lemme know if anything's goin on later"
ham,"Two fundamentals of cool life: ""Walk, like you are the KING""...! OR ""Walk like you Dont care,whoever is the KING""!... Gud nyt"
ham,We can go 4 e normal pilates after our intro...
ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
ham,K:)all the best:)congrats...
ham,And of course you should make a stink!
ham,WHITE FUDGE OREOS ARE IN STORES
ham,Hmmm.still we dont have opener?
ham,I wont get concentration dear you know you are my mind and everything :-)
ham,No..but heard abt tat..
ham,Love it! The girls at the office may wonder why you are smiling but sore...
ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)
ham,I fetch yun or u fetch?
ham,Can... I'm free...
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,I like you peoples very much:) but am very shy pa.
ham,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude
ham,Oh k :)why you got job then whats up?
ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
ham,"Sorry, was in the bathroom, sup"
ham,Mode men or have you left.
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
ham,At 4. Let's go to bill millers
spam,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max
ham,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
ham,S.s:)i thinl role is like sachin.just standing. Others have to hit.
ham,"They can try! They can get lost, in fact. Tee hee"
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL
ham,As if i wasn't having enough trouble sleeping.
ham,Delhi and chennai still silent.
ham,I think chennai well settled?
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :)
ham,Dunno lei... I might b eatin wif my frens... If ü wan to eat then i wait 4 ü lar
ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
ham,Wait . I will msg after  &lt;#&gt;  min.
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL
ham,Jokin only lar... :-) depends on which phone my father can get lor...
ham,Wat's my dear doing? Sleeping ah?
ham,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
ham,"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""...."
ham,Hi.what you think about match?
ham,"I want to show you the world, princess :) how about europe?"
ham,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
ham,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?
ham,Okie
ham,"Just looked it up and addie goes back Monday, sucks to be her"
ham,We are both fine. Thanks
ham,Gokila is talking with you aha:)
ham,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ..."
ham,Love you aathi..love u lot..
ham,I surely dont forgot to come:)i will always be in touch in with you:-)
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,Where at were hungry too
ham,3 pa but not selected.
ham,"Hi elaine, is today's meeting confirmed?"
ham,K.k:)apo k.good movie.
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
spam,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n
ham,"There'll be a minor shindig at my place later tonight, you interested?"
ham,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated."
ham,Oh ic. I thought you meant mary jane.
ham,U should have made an appointment
ham,Hey what are you doing. Y no reply pa..
spam,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...
ham,"Haha better late than ever, any way I could swing by?"
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
ham,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not."
ham,No one interested. May be some business plan.
ham,This single single answers are we fighting? Plus i said am broke and you didnt reply
ham,I wanna watch that movie
ham,I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book
ham,Gibbs unsold.mike hussey
ham,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!"
ham,Ok.ok ok..then..whats ur todays plan
ham,i felt so...not any conveying reason.. Ese he... What about me?
ham,I dont know oh. Hopefully this month.
ham,Yup... How ü noe leh...
ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:)
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
ham,May i call You later Pls
spam,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,Pls speak to that customer machan.
ham,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
spam,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,Okie but i scared u say i fat... Then u dun wan me already...
spam,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP
ham,"Doing nothing, then u not having dinner w us?"
ham,Nope i'll come online now..
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,"How long before you get reply, just defer admission til next semester"
ham,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.
ham,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.
ham,Is that what time you want me to come?
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
ham,Pls speak with me. I wont ask anything other then you friendship.
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
ham,En chikku nange bakra msg kalstiya..then had tea/coffee?
ham,I cant pick the phone right now. Pls send a message
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT"
ham,No break time one... How... I come out n get my stuff fr ü?
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
ham,Good Morning plz call me sir
ham,Oh ok..
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
ham,Your pussy is perfect!
ham,aathi..where are you dear..
ham,Yep. I do like the pink furniture tho.
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak
ham,Good morning princess! Happy New Year!
ham,i see. When we finish we have loads of loans to pay
ham,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.
ham,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
ham,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!
ham,K and you're sure I don't have to have consent forms to do it :V
ham,K..give back my thanks.
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
ham,"No, I was trying it all weekend ;V"
ham,You do your studies alone without anyones help. If you cant no need to study.
ham,K.k.this month kotees birthday know?
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
ham,Its going good...no problem..but still need little experience to understand american customer voice...
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
ham,You intrepid duo you! Have a great time and see you both soon.
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
ham,Check wid corect speling i.e. Sarcasm
ham,"Excellent, I'll see what riley's plans are"
ham,Oh yeah I forgot. U can only take 2 out shopping at once.
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
ham,ALRITE
ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
ham,Hey check it da. I have listed da.
ham,Are you plans with your family set in stone ?
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone
ham,I am in hospital da. . I will return home in evening
ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
ham,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?
ham,Dont let studying stress you out. L8r.
ham,DO U WANT 2 MEET UP 2MORRO
ham,You sure your neighbors didnt pick it up
ham,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
ham,Did he just say somebody is named tampa
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,Ü no home work to do meh...
spam,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468
ham,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
ham,Is it your yahoo boys that bring in the perf? Or legal.
ham,"That‘s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!"
ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
ham,Does not operate after  &lt;#&gt;  or what
ham,Hey leave it. not a big deal:-) take care.
ham,I know a few people I can hit up and fuck to the yes
ham,Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?
ham,K k pa Had your lunch aha.
spam,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321."
ham,Okay... I booked all already... Including the one at bugis.
ham,Send me your id and password
ham,I had it already..sabarish asked me to go..
ham,As in different styles?
ham,You call times job today ok umma and ask them to speed up
spam,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,Dear where you. Call me
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
ham,How r ü going to send it to me?
ham,"I know where the  &lt;#&gt;  is, I'll be there around 5"
ham,Siva is in hostel aha:-.
ham,Aaooooright are you at work?
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
ham,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
ham,"K, I might come by tonight then if my class lets out early"
ham,"As usual..iam fine, happy &amp; doing well..:)"
ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roads!RVx
ham,That one week leave i put know that time. Why.
ham,Pls go there today  &lt;#&gt; . I dont want any excuses
ham,"I'm in solihull, | do you want anything?"
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,Can. Dunno wat to get 4 her...
spam,PRIVATE! Your 2003 Account Statement for 078
ham,Yo you around? A friend of mine's lookin to pick up later tonight
ham,Sac needs to carry on:)
ham,Are you willing to go for aptitude class.
ham,With my sis lor... We juz watched italian job.
ham,Hey are we going for the lo lesson or gym?
spam,You have 1 new message. Please call 08718738034.
ham,S.i'm watching it in live..
ham,Nothing spl..wat abt u and whr ru?
ham,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
spam,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
ham,"I‘ve got some salt, you can rub it in my open wounds if you like!"
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
ham,Did u find out what time the bus is at coz i need to sort some stuff out.
ham,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die
ham,"Yeah probably, I still gotta check out with leo"
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
ham,"That's fine, have him give me a call if he knows what he wants or has any questions"
ham,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
ham,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries
ham,"Tee hee. Off to lecture, cheery bye bye."
ham,Will be out of class in a few hours. Sorry
ham,And popping &lt;#&gt; ibuprofens was no help.
ham,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
ham,S:)s.nervous  &lt;#&gt; :)
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
spam,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
ham,Alright. I'm out--have a good night!
ham,I have to take exam with march 3
ham,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?
spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
spam,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
ham,Want to send me a virtual hug?... I need one
spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
ham,Can you do a mag meeting this avo at some point?
ham,Ok..
ham,"K, wat s tht incident?"
ham,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.
ham,Pls call me da. What happen.
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,Kay... Since we are out already
ham,"aight we can pick some up, you open before tonight?"
spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
ham,K..k.:)congratulation ..
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?"
ham,Whens your radio show?
ham,What is important is that you prevent dehydration by giving her enough fluids
ham,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.
ham,Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.
spam,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
ham,Cool. So how come you havent been wined and dined before?
ham,That was random saw my old roomate on campus. He graduated
ham,Yar lor actually we quite fast... Cos da ge slow wat... Haha...
ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
ham,Hasn't that been the pattern recently crap weekends?
spam,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16"
ham,When/where do I pick you up
ham,Hey they r not watching movie tonight so i'll prob b home early...
ham,Please ask mummy to call father
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
ham,I wont do anything de.
ham,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala."
spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
ham,Where is it. Is there any opening for mca.
spam,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly
ham,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.
ham,Sorry . I will be able to get to you. See you in the morning.
ham,"Sir, I am waiting for your mail."
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,Are you still getting the goods.
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
ham,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
ham,Dear good morning how you feeling dear
ham,Think + da. You wil do.
ham,"came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
spam,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end
ham,"Aight, let me know when you're gonna be around usf"
ham,In work now. Going have in few min.
ham,Where r e meeting tmr?
ham,Why didn't u call on your lunch?
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
ham,Ok i juz receive..
spam,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply"
ham,Ok pa. Nothing problem:-)
ham,Aiyah then i wait lor. Then u entertain me. Hee...
ham,Then what about further plan?
ham,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
